TeamId,Squad,Competition,Country,GamesPlayed,Rank,GoalDiff,Attendance,PlUsed,PlAge,Possession,TotalGlsAsist,PrgCariers,PrgPasses,GlsAsistPer90,Sh,SoTPercentage,GlsperSoT,DistofShot,PassesCmp,PassCmpPer,PrgDist
30,Espanyol,es La Liga,es ESP,38,19,-17,"21,601",33,27.6,43.1,82,528,1146,2.16,417,36.2,0.3,17.3,10827,73.7,86401
31,Everton,eng Premier League,eng ENG,38,17,-23,"39,243",28,26.6,42.8,56,500,1052,1.47,426,33.6,0.2,16.8,11790,74.7,82478
32,Fiorentina,it Serie A,it ITA,38,8,10,"32,2",30,26.5,56.1,88,789,1627,2.32,597,28.6,0.27,17.6,15373,79.9,99945
33,Freiburg,de Bundesliga,de GER,34,5,7,"34,112",27,27.4,48.1,85,427,1039,2.5,413,40.4,0.26,17.1,11653,75,85849
34,Fulham,eng Premier League,eng ENG,38,10,2,"23,746",29,28.2,48.8,85,662,1326,2.24,420,32.6,0.34,17.3,13974,77.6,89303
35,Getafe,es La Liga,es ESP,38,15,-11,"11,592",25,27.4,39.9,55,365,1003,1.45,365,31.8,0.25,18,9690,68.6,83925
36,Girona,es La Liga,es ESP,38,10,3,"11,471",29,26,51.3,96,725,1378,2.53,446,35.9,0.29,17.2,15146,81.4,95707
37,Hellas Verona,it Serie A,it ITA,38,18,-28,"18,752",36,26.6,41.2,51,503,1063,1.34,415,28,0.24,18.6,9481,68.7,85475
38,Hertha BSC,de Bundesliga,de GER,34,18,-27,"53,67",32,26,42,65,413,914,1.91,377,32.1,0.29,18.4,8876,69.3,72608
39,Hoffenheim,de Bundesliga,de GER,34,12,-9,"24,625",31,26.8,48.3,76,457,1175,2.24,398,32.7,0.3,17.3,11754,75.5,88463
40,Inter,it Serie A,it ITA,38,3,29,"72,63",25,28.8,55.7,118,668,1624,3.11,625,31.5,0.32,16.9,17693,83.1,109417
41,Juventus,it Serie A,it ITA,38,7,23,"37,656",29,27.7,49.6,97,673,1394,2.55,529,32.3,0.31,17.3,15226,81.5,99282
42,Köln,de Bundesliga,de GER,34,11,-5,"49,765",27,26,49.9,77,522,1247,2.26,413,35.4,0.29,16.2,12242,74.8,84892
43,Lazio,it Serie A,it ITA,38,2,30,"44,141",24,28.6,52.1,96,683,1381,2.53,430,37.4,0.33,17.8,18135,83.8,106673
44,Lecce,it Serie A,it ITA,38,16,-13,"24,654",29,24.8,41.3,52,515,1232,1.37,413,25.7,0.25,18.8,10083,70.2,76019
45,Leeds United,eng Premier League,eng ENG,38,19,-30,"36,566",29,25.3,47,76,555,1429,2,459,30.7,0.31,16.6,12437,73.5,84295
46,Leicester City,eng Premier League,eng ENG,38,18,-17,"31,887",28,26.1,47.7,85,580,1304,2.24,412,34.5,0.32,17.7,14887,78.9,89055
